Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:55:48.821193900Z",,,,,1800
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:55:48.822195400Z",,,,,300
"GAME2",,"Exit Game","2025-11-27T11:55:56.107477300Z",,,,,
"GAME3",,"Start Game","2025-11-27T12:02:14.341903Z",,,,,
"GAME3",,"Load File","2025-11-27T12:02:14.344914400Z","sample_game_CSV.csv",,,,
"GAME3",,"File Loaded Successfully","2025-11-27T12:02:14.356945200Z","sample_game_CSV.csv",,,"Success",
"GAME3",,"Select Player Count","2025-11-27T12:02:16.156736700Z",,,,"2",
"GAME3","P1-fad4b3","Enter Player Name","2025-11-27T12:02:18.085318100Z",,,"tom",,0
"GAME3","P2-6344a0","Enter Player Name","2025-11-27T12:02:19.780049300Z",,,"jack",,0
"GAME3",,"Generate Event Log","2025-11-27T12:02:19.781112500Z","game_summary.txt",,"Header Written",,
"GAME3","P1-fad4b3","Select Player Turn","2025-11-27T12:02:19.784119200Z",,,,,0
"GAME3","P1-fad4b3","Select Category","2025-11-27T12:02:20.587294Z","Variables & Data Types",,,,0
"GAME3","P1-fad4b3","Select Question","2025-11-27T12:02:22.354041100Z","Variables & Data Types",200,,,0
"GAME3","P1-fad4b3","Answer Question","2025-11-27T12:02:23.858125600Z","Variables & Data Types",200,"a","Incorrect",-200
"GAME3","P1-fad4b3","Score Updated","2025-11-27T12:02:23.858125600Z",,,,,-200
"GAME3","P2-6344a0","Select Player Turn","2025-11-27T12:02:23.865324500Z",,,,,0
"GAME3",,"Exit Game","2025-11-27T12:02:26.769605100Z",,,,,
"GAME4",,"Start Game","2025-11-27T12:02:44.407127400Z",,,,,
"GAME4",,"Load File","2025-11-27T12:02:44.410807100Z","sample_game_XML.xml",,,,
"GAME4",,"File Loaded Successfully","2025-11-27T12:02:44.457905Z","sample_game_XML.xml",,,"Success",
"GAME4",,"Select Player Count","2025-11-27T12:02:47.506751100Z",,,,"2",
"GAME4","P1-b04e2c","Enter Player Name","2025-11-27T12:02:50.611742300Z",,,"Jill",,0
"GAME4","P2-41d748","Enter Player Name","2025-11-27T12:02:54.133710Z",,,"Harry",,0
"GAME4",,"Generate Event Log","2025-11-27T12:02:54.134716100Z","game_summary.txt",,"Header Written",,
"GAME4","P1-b04e2c","Select Player Turn","2025-11-27T12:02:54.137621500Z",,,,,0
"GAME5",,"Start Game","2025-11-27T12:04:52.638351Z",,,,,
"GAME5",,"Load File","2025-11-27T12:04:52.642110400Z","sample_game_CSV.csv",,,,
"GAME5",,"File Loaded Successfully","2025-11-27T12:04:52.654173600Z","sample_game_CSV.csv",,,"Success",
"GAME5",,"Select Player Count","2025-11-27T12:04:54.870332300Z",,,,"3",
"GAME5","P1-8c05f7","Enter Player Name","2025-11-27T12:04:57.274372Z",,,"Tom",,0
"GAME5","P2-743707","Enter Player Name","2025-11-27T12:04:58.693182900Z",,,"Jack",,0
"GAME5","P3-8bec7b","Enter Player Name","2025-11-27T12:05:01.362334200Z",,,"Ellis",,0
"GAME5",,"Generate Event Log","2025-11-27T12:05:01.364132600Z","game_summary.txt",,"Header Written",,
"GAME5","P1-8c05f7","Select Player Turn","2025-11-27T12:05:01.366680200Z",,,,,0
"GAME5","P1-8c05f7","Select Category","2025-11-27T12:05:05.401306600Z","Control Structures",,,,0
"GAME5","P1-8c05f7","Select Question","2025-11-27T12:05:07.245338900Z","Control Structures",300,,,0
"GAME5","P1-8c05f7","Answer Question","2025-11-27T12:05:09.284405300Z","Control Structures",300,"a","Incorrect",-300
"GAME5","P1-8c05f7","Score Updated","2025-11-27T12:05:09.284405300Z",,,,,-300
"GAME5","P2-743707","Select Player Turn","2025-11-27T12:05:09.291356200Z",,,,,0
"GAME5","P2-743707","Select Category","2025-11-27T12:05:12.781077200Z","Control Structures",,,,0
"GAME5","P2-743707","Select Question","2025-11-27T12:05:15.676667300Z","Control Structures",200,,,0
"GAME5","P2-743707","Answer Question","2025-11-27T12:05:17.488000800Z","Control Structures",200,"c","Incorrect",-200
"GAME5","P2-743707","Score Updated","2025-11-27T12:05:17.489003700Z",,,,,-200
"GAME5","P3-8bec7b","Select Player Turn","2025-11-27T12:05:17.489003700Z",,,,,0
"GAME5","P3-8bec7b","Select Category","2025-11-27T12:05:20.170055500Z","Variables & Data Types",,,,0
"GAME5","P3-8bec7b","Select Question","2025-11-27T12:05:24.277433700Z","Variables & Data Types",200,,,0
"GAME5","P3-8bec7b","Answer Question","2025-11-27T12:05:26.268680700Z","Variables & Data Types",200,"c","Incorrect",-200
"GAME5","P3-8bec7b","Score Updated","2025-11-27T12:05:26.268680700Z",,,,,-200
"GAME5","P1-8c05f7","Select Player Turn","2025-11-27T12:05:26.270183700Z",,,,,-300
"GAME5","P1-8c05f7","Select Category","2025-11-27T12:05:29.515170500Z","Arrays",,,,-300
"GAME5","P1-8c05f7","Select Question","2025-11-27T12:05:30.840751300Z","Arrays",300,,,-300
"GAME5","P1-8c05f7","Answer Question","2025-11-27T12:05:32.257463300Z","Arrays",300,"a","Incorrect",-600
"GAME5","P1-8c05f7","Score Updated","2025-11-27T12:05:32.257463300Z",,,,,-600
"GAME5","P2-743707","Select Player Turn","2025-11-27T12:05:32.258173600Z",,,,,-200
"GAME5","P2-743707","Select Category","2025-11-27T12:05:36.892003100Z","Variables & Data Types",,,,-200
"GAME5","P2-743707","Select Question","2025-11-27T12:05:49.455844600Z","Variables & Data Types",100,,,-200
"GAME5","P2-743707","Answer Question","2025-11-27T12:05:51.448215900Z","Variables & Data Types",100,"a","Correct",-100
"GAME5","P2-743707","Score Updated","2025-11-27T12:05:51.448215900Z",,,,,-100
